prune_type,seed,accuracy,zero_weight_percentage
baseline,10,0.9952,0.0
baseline,20,0.9946,0.0
baseline,30,0.9948,0.0
baseline,40,0.9942,0.0
baseline,50,0.9945,0.0
baseline,60,0.9942,0.0
baseline,70,0.9942,0.0
baseline,80,0.9952,0.0
baseline,90,0.9958,0.0
baseline,100,0.9941,0.0
prune0.1,10,0.9946,9.840859102083066
prune0.1,20,0.994,9.840859102083066
prune0.1,30,0.994,9.840859102083066
prune0.1,40,0.9944,9.840859102083066
prune0.1,50,0.9943,9.840859102083066
prune0.1,60,0.9942,9.840859102083066
prune0.1,70,0.9944,9.840859102083066
prune0.1,80,0.9944,9.840859102083066
prune0.1,90,0.995,9.840859102083066
prune0.1,100,0.9946,9.840859102083066
prune0.2,10,0.9944,19.683012032604474
prune0.2,20,0.9941,19.683012032604474
prune0.2,30,0.9947,19.683012032604474
prune0.2,40,0.9943,19.683012032604474
prune0.2,50,0.9944,19.683012032604474
prune0.2,60,0.9942,19.683012032604474
prune0.2,70,0.9943,19.683012032604474
prune0.2,80,0.9943,19.683012032604474
prune0.2,90,0.9941,19.683012032604474
prune0.2,100,0.9941,19.683012032604474
prune0.3,10,0.9945,29.52387113468754
prune0.3,20,0.9947,29.52387113468754
prune0.3,30,0.9941,29.52387113468754
prune0.3,40,0.9946,29.52387113468754
prune0.3,50,0.9947,29.52387113468754
prune0.3,60,0.994,29.52387113468754
prune0.3,70,0.9944,29.52387113468754
prune0.3,80,0.9944,29.52387113468754
prune0.3,90,0.9947,29.52387113468754
prune0.3,100,0.9944,29.52387113468754
prune0.4,10,0.9943,39.36602406520895
prune0.4,20,0.994,39.36602406520895
prune0.4,30,0.9947,39.36602406520895
prune0.4,40,0.9943,39.36602406520895
prune0.4,50,0.9949,39.36602406520895
prune0.4,60,0.9942,39.36602406520895
prune0.4,70,0.9945,39.36602406520895
prune0.4,80,0.9945,39.36602406520895
prune0.4,90,0.9944,39.36602406520895
prune0.4,100,0.9946,39.36602406520895
prune0.5,10,0.994,49.20688316729201
prune0.5,20,0.9943,49.20688316729201
prune0.5,30,0.9941,49.20688316729201
prune0.5,40,0.9943,49.20688316729201
prune0.5,50,0.994,49.20688316729201
prune0.5,60,0.994,49.20688316729201
prune0.5,70,0.9943,49.20688316729201
prune0.5,80,0.9944,49.20688316729201
prune0.5,90,0.994,49.20688316729201
prune0.5,100,0.9951,49.20688316729201
prune0.6,10,0.994,59.04774226937508
prune0.6,20,0.9941,59.04774226937508
prune0.6,30,0.9941,59.04774226937508
prune0.6,40,0.994,59.04774226937508
prune0.6,50,0.9941,59.04774226937508
prune0.6,60,0.994,59.04774226937508
prune0.6,70,0.9944,59.04774226937508
prune0.6,80,0.9943,59.04774226937508
prune0.6,90,0.9946,59.04774226937508
prune0.6,100,0.994,59.04774226937508
prune0.7,10,0.9943,68.8898951998965
prune0.7,20,0.994,68.8898951998965
prune0.7,30,0.994,68.8898951998965
prune0.7,40,0.994,68.8898951998965
prune0.7,50,0.9945,68.8898951998965
prune0.7,60,0.9944,68.8898951998965
prune0.7,70,0.994,68.8898951998965
prune0.7,80,0.9941,68.8898951998965
prune0.7,90,0.9945,68.8898951998965
prune0.7,100,0.9943,68.8898951998965
prune0.8,10,0.9952,78.73075430197956
prune0.8,20,0.9946,78.73075430197956
prune0.8,30,0.994,78.73075430197956
prune0.8,40,0.9941,78.73075430197956
prune0.8,50,0.9945,78.73075430197956
prune0.8,60,0.9941,78.73075430197956
prune0.8,70,0.994,78.73075430197956
prune0.8,80,0.9943,78.73075430197956
prune0.8,90,0.9942,78.73075430197956
prune0.8,100,0.994,78.73075430197956
