model_type,prune_type,seed,accuracy,zero_weight_percentage
resnet4,baseline,10,0.9952,0.0
resnet4,baseline,20,0.9946,0.0
resnet4,baseline,30,0.9948,0.0
resnet4,baseline,40,0.9942,0.0
resnet4,baseline,50,0.9945,0.0
resnet4,baseline,60,0.9942,0.0
resnet4,baseline,70,0.9942,0.0
resnet4,baseline,80,0.9952,0.0
resnet4,baseline,90,0.9958,0.0
resnet4,baseline,100,0.9941,0.0
resnet6,baseline,10,0.9941,0.0
resnet6,baseline,20,0.994,0.0
resnet6,baseline,30,0.994,0.0
resnet6,baseline,40,0.9941,0.0
resnet6,baseline,50,0.9947,0.0
resnet6,baseline,60,0.9947,0.0
resnet6,baseline,70,0.9944,0.0
resnet6,baseline,80,0.9943,0.0
resnet6,baseline,90,0.9942,0.0
resnet6,baseline,100,0.9945,0.0
resnet8,baseline,10,0.9943,0.0
resnet8,baseline,20,0.9954,0.0
resnet8,baseline,30,0.9949,0.0
resnet8,baseline,40,0.9942,0.0
resnet8,baseline,50,0.995,0.0
resnet8,baseline,60,0.9946,0.0
resnet8,baseline,70,0.9942,0.0
resnet8,baseline,80,0.9944,0.0
resnet8,baseline,90,0.9945,0.0
resnet8,baseline,100,0.9946,0.0
resnet4,prune_0.1,10,0.9946,9.840859102083066
resnet4,prune_0.1,20,0.994,9.840859102083066
resnet4,prune_0.1,30,0.994,9.840859102083066
resnet4,prune_0.1,40,0.9944,9.840859102083066
resnet4,prune_0.1,50,0.9943,9.840859102083066
resnet4,prune_0.1,60,0.9942,9.840859102083066
resnet4,prune_0.1,70,0.9944,9.840859102083066
resnet4,prune_0.1,80,0.9944,9.840859102083066
resnet4,prune_0.1,90,0.995,9.840859102083066
resnet4,prune_0.1,100,0.9946,9.840859102083066
resnet6,prune_0.1,10,0.9943,9.90189986382326
resnet6,prune_0.1,20,0.9956,9.90189986382326
resnet6,prune_0.1,30,0.9941,9.90189986382326
resnet6,prune_0.1,40,0.9948,9.90189986382326
resnet6,prune_0.1,50,0.9952,9.90189986382326
resnet6,prune_0.1,60,0.9947,9.90189986382326
resnet6,prune_0.1,70,0.9942,9.90189986382326
resnet6,prune_0.1,80,0.9957,9.90189986382326
resnet6,prune_0.1,90,0.9941,9.90189986382326
resnet6,prune_0.1,100,0.9949,9.90189986382326
resnet8,prune_0.1,10,0.9943,9.922844027737089
resnet8,prune_0.1,20,0.994,9.922844027737089
resnet8,prune_0.1,30,0.9945,9.922844027737089
resnet8,prune_0.1,40,0.9954,9.922844027737089
resnet8,prune_0.1,50,0.995,9.922844027737089
resnet8,prune_0.1,60,0.9941,9.922844027737089
resnet8,prune_0.1,70,0.9957,9.922844027737089
resnet8,prune_0.1,80,0.9953,9.922844027737089
resnet8,prune_0.1,90,0.9946,9.922844027737089
resnet8,prune_0.1,100,0.9942,9.922844027737089
resnet4,prune_0.2,10,0.9944,19.683012032604474
resnet4,prune_0.2,20,0.9941,19.683012032604474
resnet4,prune_0.2,30,0.9947,19.683012032604474
resnet4,prune_0.2,40,0.9943,19.683012032604474
resnet4,prune_0.2,50,0.9944,19.683012032604474
resnet4,prune_0.2,60,0.9942,19.683012032604474
resnet4,prune_0.2,70,0.9943,19.683012032604474
resnet4,prune_0.2,80,0.9943,19.683012032604474
resnet4,prune_0.2,90,0.9941,19.683012032604474
resnet4,prune_0.2,100,0.9941,19.683012032604474
resnet6,prune_0.2,10,0.9955,19.80379972764652
resnet6,prune_0.2,20,0.9954,19.80379972764652
resnet6,prune_0.2,30,0.9945,19.80379972764652
resnet6,prune_0.2,40,0.9954,19.80379972764652
resnet6,prune_0.2,50,0.9956,19.80379972764652
resnet6,prune_0.2,60,0.9945,19.80379972764652
resnet6,prune_0.2,70,0.9945,19.80379972764652
resnet6,prune_0.2,80,0.9954,19.80379972764652
resnet6,prune_0.2,90,0.9944,19.80379972764652
resnet6,prune_0.2,100,0.9943,19.80379972764652
resnet8,prune_0.2,10,0.9947,19.845688055474163
resnet8,prune_0.2,20,0.9946,19.845688055474163
resnet8,prune_0.2,30,0.9944,19.845688055474163
resnet8,prune_0.2,40,0.9951,19.845688055474163
resnet8,prune_0.2,50,0.9955,19.845688055474163
resnet8,prune_0.2,60,0.9946,19.845688055474163
resnet8,prune_0.2,70,0.9949,19.845688055474163
resnet8,prune_0.2,80,0.9954,19.845688055474163
resnet8,prune_0.2,90,0.994,19.845688055474163
resnet8,prune_0.2,100,0.9945,19.845688055474163
resnet4,prune_0.3,10,0.9945,29.52387113468754
resnet4,prune_0.3,20,0.9947,29.52387113468754
resnet4,prune_0.3,30,0.9941,29.52387113468754
resnet4,prune_0.3,40,0.9946,29.52387113468754
resnet4,prune_0.3,50,0.9947,29.52387113468754
resnet4,prune_0.3,60,0.994,29.52387113468754
resnet4,prune_0.3,70,0.9944,29.52387113468754
resnet4,prune_0.3,80,0.9944,29.52387113468754
resnet4,prune_0.3,90,0.9947,29.52387113468754
resnet4,prune_0.3,100,0.9944,29.52387113468754
resnet6,prune_0.3,10,0.9946,29.70636064360035
resnet6,prune_0.3,20,0.9957,29.70636064360035
resnet6,prune_0.3,30,0.9941,29.70636064360035
resnet6,prune_0.3,40,0.9959,29.70636064360035
resnet6,prune_0.3,50,0.9952,29.70636064360035
resnet6,prune_0.3,60,0.9954,29.70636064360035
resnet6,prune_0.3,70,0.9953,29.70636064360035
resnet6,prune_0.3,80,0.9942,29.70636064360035
resnet6,prune_0.3,90,0.9948,29.70636064360035
resnet6,prune_0.3,100,0.9944,29.70636064360035
resnet8,prune_0.3,10,0.9945,29.76853208321125
resnet8,prune_0.3,20,0.9946,29.76853208321125
resnet8,prune_0.3,30,0.9942,29.76853208321125
resnet8,prune_0.3,40,0.9955,29.76853208321125
resnet8,prune_0.3,50,0.9957,29.76853208321125
resnet8,prune_0.3,60,0.9948,29.76853208321125
resnet8,prune_0.3,70,0.9949,29.76853208321125
resnet8,prune_0.3,80,0.995,29.76853208321125
resnet8,prune_0.3,90,0.9948,29.76853208321125
resnet8,prune_0.3,100,0.9959,29.76853208321125
resnet4,prune_0.4,10,0.9943,39.36602406520895
resnet4,prune_0.4,20,0.994,39.36602406520895
resnet4,prune_0.4,30,0.9947,39.36602406520895
resnet4,prune_0.4,40,0.9943,39.36602406520895
resnet4,prune_0.4,50,0.9949,39.36602406520895
resnet4,prune_0.4,60,0.9942,39.36602406520895
resnet4,prune_0.4,70,0.9945,39.36602406520895
resnet4,prune_0.4,80,0.9945,39.36602406520895
resnet4,prune_0.4,90,0.9944,39.36602406520895
resnet4,prune_0.4,100,0.9946,39.36602406520895
resnet6,prune_0.4,10,0.9941,39.60826050742362
resnet6,prune_0.4,20,0.9958,39.60826050742362
resnet6,prune_0.4,30,0.9946,39.60826050742362
resnet6,prune_0.4,40,0.9957,39.60826050742362
resnet6,prune_0.4,50,0.9959,39.60826050742362
resnet6,prune_0.4,60,0.9958,39.60826050742362
resnet6,prune_0.4,70,0.9952,39.60826050742362
resnet6,prune_0.4,80,0.9942,39.60826050742362
resnet6,prune_0.4,90,0.9956,39.60826050742362
resnet6,prune_0.4,100,0.9952,39.60826050742362
resnet8,prune_0.4,10,0.9953,39.69137611094834
resnet8,prune_0.4,20,0.9945,39.69137611094834
resnet8,prune_0.4,30,0.9944,39.69137611094834
resnet8,prune_0.4,40,0.9958,39.69137611094834
resnet8,prune_0.4,50,0.9957,39.69137611094834
resnet8,prune_0.4,60,0.994,39.69137611094834
