model_type,seed,accuracy,zero_weight_percentage
baseline,10,0.8941,0.0
baseline,20,0.8923,0.0
baseline,30,0.8948,0.0
baseline,40,0.8937,0.0
baseline,50,0.8854,0.0
baseline,60,0.8818,0.0
baseline,70,0.8912,0.0
baseline,80,0.8812,0.0
baseline,90,0.8806,0.0
baseline,100,0.889,0.0
prune_0.1,10,0.8803,9.947452905771625
prune_0.1,20,0.8811,9.947452905771625
prune_0.1,30,0.8815,9.947452905771625
prune_0.1,40,0.8843,9.947452905771625
prune_0.1,50,0.8836,9.947452905771625
prune_0.1,60,0.8857,9.947452905771625
prune_0.1,70,0.8829,9.947452905771625
prune_0.1,80,0.8855,9.947452905771625
prune_0.1,90,0.8836,9.947452905771625
prune_0.1,100,0.8817,9.947452905771625
prune_0.2,10,0.8843,19.894763252958803
prune_0.2,20,0.8811,19.894763252958803
prune_0.2,30,0.8843,19.894763252958803
prune_0.2,40,0.8803,19.894763252958803
prune_0.2,50,0.8813,19.894763252958803
prune_0.2,60,0.8836,19.894763252958803
prune_0.2,70,0.8815,19.894763252958803
prune_0.2,80,0.8835,19.894763252958803
prune_0.2,90,0.8825,19.894763252958803
prune_0.2,100,0.8805,19.894763252958803
prune_0.3,10,0.8839,29.842216158730427
prune_0.3,20,0.8838,29.842216158730427
prune_0.3,30,0.8808,29.842216158730427
prune_0.3,40,0.8819,29.842216158730427
prune_0.3,50,0.8831,29.842216158730427
prune_0.3,60,0.8851,29.842216158730427
prune_0.3,70,0.88,29.842216158730427
prune_0.3,80,0.8834,29.842216158730427
prune_0.3,90,0.8806,29.842216158730427
prune_0.3,100,0.884,29.842216158730427
prune_0.4,10,0.8868,39.78952650591761
prune_0.4,20,0.8823,39.78952650591761
prune_0.4,30,0.8829,39.78952650591761
prune_0.4,40,0.8849,39.78952650591761
prune_0.4,50,0.884,39.78952650591761
prune_0.4,60,0.8851,39.78952650591761
prune_0.4,70,0.881,39.78952650591761
prune_0.4,80,0.8813,39.78952650591761
prune_0.4,90,0.8854,39.78952650591761
prune_0.4,100,0.882,39.78952650591761
prune_0.5,10,0.8817,49.736979411689234
prune_0.5,20,0.8802,49.736979411689234
prune_0.5,30,0.882,49.736979411689234
prune_0.5,40,0.8827,49.736979411689234
prune_0.5,50,0.8832,49.736979411689234
prune_0.5,60,0.8837,49.736979411689234
prune_0.5,70,0.8814,49.736979411689234
prune_0.5,80,0.8838,49.736979411689234
prune_0.5,90,0.8824,49.736979411689234
prune_0.5,100,0.885,49.736979411689234
prune_0.6,10,0.8811,59.68443231746085
prune_0.6,20,0.8825,59.68443231746085
prune_0.6,30,0.8821,59.68443231746085
prune_0.6,40,0.8804,59.68443231746085
prune_0.6,50,0.8824,59.68443231746085
prune_0.6,60,0.8809,59.68443231746085
prune_0.6,70,0.8803,59.68443231746085
prune_0.6,80,0.8838,59.68443231746085
prune_0.6,90,0.8855,59.68443231746085
prune_0.6,100,0.88,59.68443231746085
prune_0.7,10,0.8819,69.63174266464804
prune_0.7,20,0.8803,69.63174266464804
prune_0.7,30,0.8802,69.63174266464804
prune_0.7,40,0.8806,69.63174266464804
prune_0.7,50,0.882,69.63174266464804
prune_0.7,60,0.8819,69.63174266464804
prune_0.7,70,0.8804,69.63174266464804
prune_0.7,80,0.8813,69.63174266464804
prune_0.7,90,0.8819,69.63174266464804
prune_0.7,100,0.8806,69.63174266464804
prune_0.8,10,0.8806,79.57919557041966
prune_0.8,20,0.8811,79.57919557041966
prune_0.8,30,0.8807,79.57919557041966
prune_0.8,40,0.881,79.57919557041966
prune_0.8,50,0.8824,79.57919557041966
prune_0.8,60,0.8803,79.57919557041966
prune_0.8,70,0.8816,79.57919557041966
prune_0.8,80,0.8822,79.57919557041966
prune_0.8,90,0.8826,79.57919557041966
prune_0.8,100,0.8804,79.57919557041966
