model_type,seed,accuracy,zero_weight_percentage
baseline,10,0.993,0.0
baseline,20,0.9946,0.0
baseline,30,0.9936,0.0
baseline,40,0.9934,0.0
baseline,50,0.9937,0.0
baseline,60,0.9942,0.0
baseline,70,0.993,0.0
baseline,80,0.9933,0.0
baseline,90,0.993,0.0
baseline,100,0.9932,0.0
prune_0.1,10,0.9942,9.840859102083066
prune_0.1,20,0.9934,9.840859102083066
prune_0.1,30,0.993,9.840859102083066
prune_0.1,40,0.993,9.840859102083066
prune_0.1,50,0.9943,9.840859102083066
prune_0.1,60,0.9937,9.840859102083066
prune_0.1,70,0.9931,9.840859102083066
prune_0.1,80,0.9948,9.840859102083066
prune_0.1,90,0.9936,9.840859102083066
prune_0.1,100,0.9935,9.840859102083066
prune_0.2,10,0.9936,19.683012032604474
prune_0.2,20,0.9931,19.683012032604474
prune_0.2,30,0.9939,19.683012032604474
prune_0.2,40,0.9931,19.683012032604474
prune_0.2,50,0.9931,19.683012032604474
prune_0.2,60,0.9938,19.683012032604474
prune_0.2,70,0.993,19.683012032604474
prune_0.2,80,0.9946,19.683012032604474
prune_0.2,90,0.9935,19.683012032604474
prune_0.2,100,0.9934,19.683012032604474
prune_0.3,10,0.9942,29.52387113468754
prune_0.3,20,0.9936,29.52387113468754
prune_0.3,30,0.9937,29.52387113468754
prune_0.3,40,0.993,29.52387113468754
prune_0.3,50,0.9939,29.52387113468754
prune_0.3,60,0.9935,29.52387113468754
prune_0.3,70,0.9935,29.52387113468754
prune_0.3,80,0.9949,29.52387113468754
prune_0.3,90,0.9936,29.52387113468754
prune_0.3,100,0.9937,29.52387113468754
prune_0.4,10,0.9942,39.36602406520895
prune_0.4,20,0.9934,39.36602406520895
prune_0.4,30,0.9939,39.36602406520895
prune_0.4,40,0.993,39.36602406520895
prune_0.4,50,0.9945,39.36602406520895
prune_0.4,60,0.9935,39.36602406520895
prune_0.4,70,0.9936,39.36602406520895
prune_0.4,80,0.9945,39.36602406520895
prune_0.4,90,0.9931,39.36602406520895
prune_0.4,100,0.9944,39.36602406520895
prune_0.5,10,0.994,49.20688316729201
prune_0.5,20,0.9931,49.20688316729201
prune_0.5,30,0.993,49.20688316729201
prune_0.5,40,0.9937,49.20688316729201
prune_0.5,50,0.9942,49.20688316729201
prune_0.5,60,0.9932,49.20688316729201
prune_0.5,70,0.9936,49.20688316729201
prune_0.5,80,0.9949,49.20688316729201
prune_0.5,90,0.9938,49.20688316729201
prune_0.5,100,0.9942,49.20688316729201
prune_0.6,10,0.9946,59.04774226937508
prune_0.6,20,0.9937,59.04774226937508
prune_0.6,30,0.9934,59.04774226937508
prune_0.6,40,0.9933,59.04774226937508
prune_0.6,50,0.9945,59.04774226937508
prune_0.6,60,0.9935,59.04774226937508
prune_0.6,70,0.9937,59.04774226937508
prune_0.6,80,0.9942,59.04774226937508
prune_0.6,90,0.9936,59.04774226937508
prune_0.6,100,0.994,59.04774226937508
prune_0.7,10,0.9936,68.8898951998965
prune_0.7,20,0.9938,68.8898951998965
prune_0.7,30,0.9935,68.8898951998965
prune_0.7,40,0.993,68.8898951998965
prune_0.7,50,0.9935,68.8898951998965
prune_0.7,60,0.9932,68.8898951998965
prune_0.7,70,0.993,68.8898951998965
prune_0.7,80,0.9932,68.8898951998965
prune_0.7,90,0.993,68.8898951998965
prune_0.7,100,0.9939,68.8898951998965
prune_0.8,10,0.9931,78.73075430197956
prune_0.8,20,0.9934,78.73075430197956
prune_0.8,30,0.9931,78.73075430197956
prune_0.8,40,0.9932,78.73075430197956
prune_0.8,50,0.9933,78.73075430197956
prune_0.8,60,0.9935,78.73075430197956
prune_0.8,70,0.993,78.73075430197956
prune_0.8,80,0.9932,78.73075430197956
prune_0.8,90,0.9931,78.73075430197956
prune_0.8,100,0.993,78.73075430197956
