model_type,prune_type,accuracy_avg,accuracy_std
resnet4,baseline,0.99468,0.0005652924513520111
resnet4,prune_0.1,0.9943899999999999,0.0002998147576235866
resnet4,prune_0.2,0.99429,0.00018529256146253926
resnet4,prune_0.3,0.99445,0.0002460803843372456
resnet4,prune_0.4,0.99444,0.00025905812303637926
resnet4,prune_0.5,0.9942499999999999,0.0003374742788553014
resnet4,prune_0.6,0.9941599999999999,0.00020655911179774325
resnet4,prune_0.7,0.99421,0.0002131770260709134
resnet4,prune_0.8,0.9943,0.00038005847503307945
resnet6,baseline,0.9943,0.00026666666666669563
resnet6,prune_0.1,0.99476,0.0005966573556070736
resnet6,prune_0.2,0.99495,0.000544160923910468
resnet6,prune_0.3,0.9949600000000001,0.0006310485101973076
resnet6,prune_0.4,0.9952099999999999,0.000682234889495155
resnet6,prune_0.5,0.9955299999999999,0.00045472824607425044
resnet6,prune_0.6,0.99537,0.0006272515001532138
resnet6,prune_0.7,0.99543,0.0005850925852660757
resnet6,prune_0.8,0.9953900000000001,0.0005087020520676026
resnet8,baseline,0.99461,0.00038715486421960507
resnet8,prune_0.1,0.9947100000000001,0.0006008327554320038
resnet8,prune_0.2,0.9947699999999999,0.0004620004810002267
resnet8,prune_0.3,0.9949899999999999,0.0005466056876559008
resnet8,prune_0.4,0.9949899999999999,0.0006384877968032556
resnet8,prune_0.5,0.99543,0.0006272515001531975
resnet8,prune_0.6,0.9955299999999999,0.0006074537019394927
resnet8,prune_0.7,0.9955400000000001,0.0006449806198639069
resnet8,prune_0.8,0.9954000000000001,0.0006912147117776228
