file_name,dataset,model_type,seed,epsilon,verifier,property,result
MNIST_0.010_8519.out,,,,,,,0
MNIST_0.007_1078.out,MNIST,prune_0.1,10,0.007,abc,78,0
MNIST_0.005_5725.out,MNIST,prune_0.5,80,0.005,abc,25,1
MNIST_0.010_2207.out,MNIST,prune_0.2,30,0.01,abc,7,0
MNIST_0.006_6601.out,MNIST,prune_0.6,70,0.006,abc,1,1
MNIST_0.006_8786.out,MNIST,prune_0.8,80,0.006,abc,86,0
MNIST_0.008_3061.out,MNIST,prune_0.3,10,0.008,abc,61,0
MNIST_0.008_8923.out,MNIST,prune_0.8,100,0.008,abc,23,0
MNIST_0.004_7695.out,MNIST,prune_0.7,70,0.004,abc,95,1
MNIST_0.004_862.out,MNIST,baseline,90,0.004,abc,62,1
MNIST_0.008_8978.out,MNIST,prune_0.8,100,0.008,abc,78,0
MNIST_0.009_1335.out,MNIST,prune_0.1,40,0.009,abc,35,0
MNIST_0.009_5728.out,MNIST,prune_0.5,80,0.009,abc,28,0
MNIST_0.008_4078.out,MNIST,prune_0.4,10,0.008,abc,78,0
MNIST_0.008_7039.out,MNIST,prune_0.7,10,0.008,abc,39,0
MNIST_0.004_8967.out,MNIST,prune_0.8,100,0.004,abc,67,1
MNIST_0.004_7010.out,MNIST,prune_0.7,10,0.004,abc,10,1
MNIST_0.010_8930.out,,,,,,,0
MNIST_0.008_8886.out,MNIST,prune_0.8,90,0.008,abc,86,0
MNIST_0.006_5250.out,MNIST,prune_0.5,30,0.006,abc,50,1
MNIST_0.010_2260.out,MNIST,prune_0.2,30,0.01,abc,60,0
MNIST_0.009_836.out,MNIST,baseline,90,0.009,abc,36,0
MNIST_0.007_411.out,MNIST,baseline,50,0.007,abc,11,1
MNIST_0.007_4.out,MNIST,baseline,10,0.007,abc,4,1
MNIST_0.010_3548.out,MNIST,prune_0.3,60,0.01,abc,48,0
MNIST_0.006_7215.out,MNIST,prune_0.7,30,0.006,abc,15,0
MNIST_0.010_5763.out,MNIST,prune_0.5,80,0.01,abc,63,0
MNIST_0.006_453.out,MNIST,baseline,50,0.006,abc,53,1
MNIST_0.010_1448.out,MNIST,prune_0.1,50,0.01,abc,48,0
MNIST_0.009_237.out,MNIST,baseline,30,0.009,abc,37,0
MNIST_0.009_1989.out,MNIST,prune_0.1,100,0.009,abc,89,0
MNIST_0.007_6877.out,MNIST,prune_0.6,90,0.007,abc,77,0
MNIST_0.005_3114.out,MNIST,prune_0.3,20,0.005,abc,14,1
MNIST_0.005_1514.out,MNIST,prune_0.1,60,0.005,abc,14,1
MNIST_0.004_8480.out,MNIST,prune_0.8,50,0.004,abc,80,1
MNIST_0.007_4897.out,MNIST,prune_0.4,90,0.007,abc,97,0
MNIST_0.009_7220.out,MNIST,prune_0.7,30,0.009,abc,20,0
MNIST_0.009_8357.out,MNIST,prune_0.8,40,0.009,abc,57,0
MNIST_0.004_2813.out,MNIST,prune_0.2,90,0.004,abc,13,1
MNIST_0.005_8258.out,MNIST,prune_0.8,30,0.005,abc,58,1
MNIST_0.007_8580.out,MNIST,prune_0.8,60,0.007,abc,80,0
MNIST_0.010_5432.out,,,,,,,0
MNIST_0.005_8592.out,MNIST,prune_0.8,60,0.005,abc,92,1
MNIST_0.010_8620.out,,,,,,,0
MNIST_0.004_7097.out,MNIST,prune_0.7,10,0.004,abc,97,1
MNIST_0.007_5689.out,MNIST,prune_0.5,70,0.007,abc,89,0
MNIST_0.007_6438.out,MNIST,prune_0.6,50,0.007,abc,38,0
MNIST_0.007_2797.out,MNIST,prune_0.2,80,0.007,abc,97,0
MNIST_0.008_3337.out,MNIST,prune_0.3,40,0.008,abc,37,0
MNIST_0.005_1618.out,MNIST,prune_0.1,70,0.005,abc,18,0
MNIST_0.006_5019.out,MNIST,prune_0.5,10,0.006,abc,19,1
MNIST_0.004_3525.out,MNIST,prune_0.3,60,0.004,abc,25,1
MNIST_0.004_2932.out,MNIST,prune_0.2,100,0.004,abc,32,1
MNIST_0.009_1879.out,MNIST,prune_0.1,90,0.009,abc,79,0
MNIST_0.008_1902.out,MNIST,prune_0.1,100,0.008,abc,2,0
MNIST_0.010_7354.out,,,,,,,0
MNIST_0.005_6997.out,MNIST,prune_0.6,100,0.005,abc,97,1
MNIST_0.005_3906.out,MNIST,prune_0.3,100,0.005,abc,6,1
MNIST_0.010_734.out,MNIST,baseline,80,0.01,abc,34,0
MNIST_0.010_3945.out,MNIST,prune_0.3,100,0.01,abc,45,0
MNIST_0.008_3990.out,MNIST,prune_0.3,100,0.008,abc,90,1
MNIST_0.006_1035.out,MNIST,prune_0.1,10,0.006,abc,35,0
MNIST_0.009_8085.out,MNIST,prune_0.8,10,0.009,abc,85,0
MNIST_0.008_1992.out,MNIST,prune_0.1,100,0.008,abc,92,0
MNIST_0.006_8408.out,MNIST,prune_0.8,50,0.006,abc,8,0
MNIST_0.010_3966.out,MNIST,prune_0.3,100,0.01,abc,66,0
MNIST_0.010_4290.out,MNIST,prune_0.4,30,0.01,abc,90,0
MNIST_0.009_1855.out,MNIST,prune_0.1,90,0.009,abc,55,0
MNIST_0.009_6437.out,MNIST,prune_0.6,50,0.009,abc,37,0
MNIST_0.006_7312.out,MNIST,prune_0.7,40,0.006,abc,12,1
MNIST_0.009_8712.out,MNIST,prune_0.8,80,0.009,abc,12,0
MNIST_0.004_352.out,MNIST,baseline,40,0.004,abc,52,1
MNIST_0.008_2736.out,MNIST,prune_0.2,80,0.008,abc,36,0
MNIST_0.008_1088.out,MNIST,prune_0.1,10,0.008,abc,88,1
MNIST_0.010_1831.out,MNIST,prune_0.1,90,0.01,abc,31,0
MNIST_0.008_2865.out,MNIST,prune_0.2,90,0.008,abc,65,0
MNIST_0.005_888.out,MNIST,baseline,90,0.005,abc,88,1
MNIST_0.007_8086.out,MNIST,prune_0.8,10,0.007,abc,86,1
MNIST_0.009_4020.out,MNIST,prune_0.4,10,0.009,abc,20,0
MNIST_0.010_654.out,MNIST,baseline,70,0.01,abc,54,0
MNIST_0.009_27.out,MNIST,baseline,10,0.009,abc,27,1
MNIST_0.010_5078.out,,,,,,,0
MNIST_0.006_330.out,MNIST,baseline,40,0.006,abc,30,1
MNIST_0.007_5872.out,MNIST,prune_0.5,90,0.007,abc,72,1
MNIST_0.004_7383.out,MNIST,prune_0.7,40,0.004,abc,83,1
MNIST_0.008_1606.out,MNIST,prune_0.1,70,0.008,abc,6,0
MNIST_0.008_7081.out,MNIST,prune_0.7,10,0.008,abc,81,0
MNIST_0.004_7116.out,MNIST,prune_0.7,20,0.004,abc,16,1
MNIST_0.009_7176.out,MNIST,prune_0.7,20,0.009,abc,76,0
