dataset,pruning,epsilon,result,std
JPL,baseline,0.0003,77.3,6.000925854492043
JPL,prune0.1,0.0003,76.8,6.477310827461929
JPL,prune0.2,0.0003,77.6,7.3816589523554175
JPL,prune0.3,0.0003,78.4,6.834552736727622
JPL,prune0.4,0.0003,79.8,3.614784456460256
JPL,prune0.5,0.0003,78.5,3.894440481849306
JPL,prune0.6,0.0003,80.1,4.677368680976274
JPL,prune0.7,0.0003,82.1,2.0789954839350244
JPL,prune0.8,0.0003,81.4,4.195235392680608
JPL,baseline,0.0005,67.5,4.927248499698162
JPL,prune0.1,0.0005,67.7,6.201254353399444
JPL,prune0.2,0.0005,68.5,7.16860438920219
JPL,prune0.3,0.0005,69.5,6.4161255183067185
JPL,prune0.4,0.0005,70.1,4.228212125447086
JPL,prune0.5,0.0005,68.8,3.881580434135905
JPL,prune0.6,0.0005,70.7,4.620004810002311
JPL,prune0.7,0.0005,70.9,2.6853512081497097
JPL,prune0.8,0.0005,71.1,5.363456596884762
JPL,baseline,0.0006,62.1,5.858517066820086
JPL,prune0.1,0.0006,60.9,6.118278625016462
JPL,prune0.2,0.0006,62.9,7.015063158027238
JPL,prune0.3,0.0006,63.4,6.931409989637351
JPL,prune0.4,0.0006,63.3,5.313504806936127
JPL,prune0.5,0.0006,62.2,5.223876806442594
JPL,prune0.6,0.0006,64.2,5.846176338238335
JPL,prune0.7,0.0006,65.3,2.7507574714370366
JPL,prune0.8,0.0006,63.8,5.672545969648706
JPL,baseline,0.0007,55.8,6.268084945889685
JPL,prune0.1,0.0007,53.7,6.074537019394974
JPL,prune0.2,0.0007,55.1,7.4899933244296015
JPL,prune0.3,0.0007,55.2,7.554248252914824
JPL,prune0.4,0.0007,55.2,6.860515043833564
JPL,prune0.5,0.0007,54.7,6.6841437580125245
JPL,prune0.6,0.0007,57.3,6.8158312446506155
JPL,prune0.7,0.0007,56.8,2.347575581554536
JPL,prune0.8,0.0007,56.6,6.397916327472041
JPL,baseline,0.0008,48.4,6.040603354706291
JPL,prune0.1,0.0008,44.8,6.811754546370563
JPL,prune0.2,0.0008,46.5,7.663042621715098
JPL,prune0.3,0.0008,46.1,8.900062421753631
JPL,prune0.4,0.0008,46.6,8.566082989195108
JPL,prune0.5,0.0008,45.4,9.500877152487906
JPL,prune0.6,0.0008,47.9,8.621033709609437
JPL,prune0.7,0.0008,48.2,5.116422361159971
JPL,prune0.8,0.0008,48.3,6.60050503118259
JPL,baseline,0.0009,39.1,11.751595636338072
JPL,prune0.1,0.0009,34.8,13.281566172707192
JPL,prune0.2,0.0009,36.5,12.799739580684186
JPL,prune0.3,0.0009,35.8,14.335658726096655
JPL,prune0.4,0.0009,35.6,14.826402875351198
JPL,prune0.5,0.0009,33.9,15.058773743790251
JPL,prune0.6,0.0009,38.9,12.991022541226949
JPL,prune0.7,0.0009,39.1,8.517302650748327
JPL,prune0.8,0.0009,37.9,9.689054534771584
MNIST,baseline,0.006,81.6,22.376575053191473
MNIST,prune0.1,0.006,77.0,20.215505600075073
MNIST,prune0.2,0.006,75.0,19.482185594936613
MNIST,prune0.3,0.006,82.3,15.40598729210317
MNIST,prune0.4,0.006,84.4,13.517067400553683
MNIST,prune0.5,0.006,84.5,13.23505446406121
MNIST,prune0.6,0.006,75.5,18.58464120958188
MNIST,prune0.7,0.006,65.9,20.33852392764912
MNIST,prune0.8,0.006,51.2,16.765042996266565
MNIST,baseline,0.007,54.3,28.867705908929523
MNIST,prune0.1,0.007,44.8,29.768738263113836
MNIST,prune0.2,0.007,41.6,26.837784309936367
MNIST,prune0.3,0.007,53.7,28.833044314543763
MNIST,prune0.4,0.007,59.7,27.06802131257063
MNIST,prune0.5,0.007,54.7,22.828101590413127
MNIST,prune0.6,0.007,44.2,27.189867393734907
MNIST,prune0.7,0.007,33.6,26.72161006459836
MNIST,prune0.8,0.007,16.6,14.261058087595668
MNIST,baseline,0.008,22.3,20.483326552751794
MNIST,prune0.1,0.008,14.4,18.63807333867366
MNIST,prune0.2,0.008,11.8,13.09622507103139
MNIST,prune0.3,0.008,20.3,18.068081125442056
MNIST,prune0.4,0.008,25.1,24.772072088453875
MNIST,prune0.5,0.008,19.7,21.16627296221777
MNIST,prune0.6,0.008,15.5,17.4052993207369
MNIST,prune0.7,0.008,10.8,14.045956318061398
MNIST,prune0.8,0.008,2.1,4.306326095924976
