dataset,pruning,seed,epsilon,result
JPL,baseline,10,0.0003,76
JPL,baseline,100,0.0003,77
JPL,baseline,20,0.0003,79
JPL,baseline,30,0.0003,75
JPL,baseline,40,0.0003,62
JPL,baseline,50,0.0003,79
JPL,baseline,60,0.0003,78
JPL,baseline,70,0.0003,83
JPL,baseline,80,0.0003,82
JPL,baseline,90,0.0003,82
JPL,prune0.1,10,0.0003,75
JPL,prune0.1,100,0.0003,83
JPL,prune0.1,20,0.0003,78
JPL,prune0.1,30,0.0003,79
JPL,prune0.1,40,0.0003,64
JPL,prune0.1,50,0.0003,70
JPL,prune0.1,60,0.0003,81
JPL,prune0.1,70,0.0003,84
JPL,prune0.1,80,0.0003,82
JPL,prune0.1,90,0.0003,72
JPL,prune0.2,10,0.0003,72
JPL,prune0.2,100,0.0003,85
JPL,prune0.2,20,0.0003,78
JPL,prune0.2,30,0.0003,80
JPL,prune0.2,40,0.0003,64
JPL,prune0.2,50,0.0003,73
JPL,prune0.2,60,0.0003,87
JPL,prune0.2,70,0.0003,84
JPL,prune0.2,80,0.0003,82
JPL,prune0.2,90,0.0003,71
JPL,prune0.3,10,0.0003,72
JPL,prune0.3,100,0.0003,85
JPL,prune0.3,20,0.0003,78
JPL,prune0.3,30,0.0003,81
JPL,prune0.3,40,0.0003,63
JPL,prune0.3,50,0.0003,77
JPL,prune0.3,60,0.0003,84
JPL,prune0.3,70,0.0003,85
JPL,prune0.3,80,0.0003,82
JPL,prune0.3,90,0.0003,77
JPL,prune0.4,10,0.0003,75
JPL,prune0.4,100,0.0003,81
JPL,prune0.4,20,0.0003,76
JPL,prune0.4,30,0.0003,81
JPL,prune0.4,40,0.0003,82
JPL,prune0.4,50,0.0003,77
JPL,prune0.4,60,0.0003,83
JPL,prune0.4,70,0.0003,86
JPL,prune0.4,80,0.0003,81
JPL,prune0.4,90,0.0003,76
JPL,prune0.5,10,0.0003,76
JPL,prune0.5,100,0.0003,81
JPL,prune0.5,20,0.0003,70
JPL,prune0.5,30,0.0003,82
JPL,prune0.5,40,0.0003,82
JPL,prune0.5,50,0.0003,76
JPL,prune0.5,60,0.0003,81
JPL,prune0.5,70,0.0003,81
JPL,prune0.5,80,0.0003,80
JPL,prune0.5,90,0.0003,76
JPL,prune0.6,10,0.0003,74
JPL,prune0.6,100,0.0003,84
JPL,prune0.6,20,0.0003,71
JPL,prune0.6,30,0.0003,80
JPL,prune0.6,40,0.0003,84
JPL,prune0.6,50,0.0003,77
JPL,prune0.6,60,0.0003,83
JPL,prune0.6,70,0.0003,85
JPL,prune0.6,80,0.0003,81
JPL,prune0.6,90,0.0003,82
JPL,prune0.7,10,0.0003,80
JPL,prune0.7,100,0.0003,84
JPL,prune0.7,20,0.0003,82
JPL,prune0.7,30,0.0003,84
JPL,prune0.7,40,0.0003,86
JPL,prune0.7,50,0.0003,80
JPL,prune0.7,60,0.0003,81
JPL,prune0.7,70,0.0003,83
JPL,prune0.7,80,0.0003,80
JPL,prune0.7,90,0.0003,81
JPL,prune0.8,10,0.0003,78
JPL,prune0.8,100,0.0003,83
JPL,prune0.8,20,0.0003,72
JPL,prune0.8,30,0.0003,85
JPL,prune0.8,40,0.0003,82
JPL,prune0.8,50,0.0003,86
JPL,prune0.8,60,0.0003,85
JPL,prune0.8,70,0.0003,83
JPL,prune0.8,80,0.0003,79
JPL,prune0.8,90,0.0003,81
JPL,baseline,10,0.0005,64
JPL,baseline,100,0.0005,66
JPL,baseline,20,0.0005,68
JPL,baseline,30,0.0005,66
JPL,baseline,40,0.0005,56
JPL,baseline,50,0.0005,71
JPL,baseline,60,0.0005,73
JPL,baseline,70,0.0005,71
JPL,baseline,80,0.0005,71
JPL,baseline,90,0.0005,69
JPL,prune0.1,10,0.0005,67
JPL,prune0.1,100,0.0005,68
JPL,prune0.1,20,0.0005,69
JPL,prune0.1,30,0.0005,64
JPL,prune0.1,40,0.0005,58
JPL,prune0.1,50,0.0005,61
JPL,prune0.1,60,0.0005,74
JPL,prune0.1,70,0.0005,76
JPL,prune0.1,80,0.0005,76
JPL,prune0.1,90,0.0005,64
JPL,prune0.2,10,0.0005,64
JPL,prune0.2,100,0.0005,74
JPL,prune0.2,20,0.0005,69
JPL,prune0.2,30,0.0005,65
JPL,prune0.2,40,0.0005,57
JPL,prune0.2,50,0.0005,62
JPL,prune0.2,60,0.0005,78
JPL,prune0.2,70,0.0005,77
JPL,prune0.2,80,0.0005,75
JPL,prune0.2,90,0.0005,64
JPL,prune0.3,10,0.0005,65
JPL,prune0.3,100,0.0005,75
JPL,prune0.3,20,0.0005,69
JPL,prune0.3,30,0.0005,66
JPL,prune0.3,40,0.0005,58
JPL,prune0.3,50,0.0005,69
JPL,prune0.3,60,0.0005,75
JPL,prune0.3,70,0.0005,78
JPL,prune0.3,80,0.0005,76
JPL,prune0.3,90,0.0005,64
JPL,prune0.4,10,0.0005,67
JPL,prune0.4,100,0.0005,69
JPL,prune0.4,20,0.0005,66
JPL,prune0.4,30,0.0005,72
JPL,prune0.4,40,0.0005,69
JPL,prune0.4,50,0.0005,68
JPL,prune0.4,60,0.0005,74
JPL,prune0.4,70,0.0005,79
JPL,prune0.4,80,0.0005,72
JPL,prune0.4,90,0.0005,65
JPL,prune0.5,10,0.0005,67
JPL,prune0.5,100,0.0005,69
JPL,prune0.5,20,0.0005,61
JPL,prune0.5,30,0.0005,73
JPL,prune0.5,40,0.0005,68
JPL,prune0.5,50,0.0005,69
JPL,prune0.5,60,0.0005,74
JPL,prune0.5,70,0.0005,70
JPL,prune0.5,80,0.0005,72
JPL,prune0.5,90,0.0005,65
JPL,prune0.6,10,0.0005,67
JPL,prune0.6,100,0.0005,72
JPL,prune0.6,20,0.0005,60
JPL,prune0.6,30,0.0005,71
JPL,prune0.6,40,0.0005,70
JPL,prune0.6,50,0.0005,70
JPL,prune0.6,60,0.0005,74
JPL,prune0.6,70,0.0005,77
JPL,prune0.6,80,0.0005,73
JPL,prune0.6,90,0.0005,73
JPL,prune0.7,10,0.0005,67
JPL,prune0.7,100,0.0005,71
JPL,prune0.7,20,0.0005,71
JPL,prune0.7,30,0.0005,71
JPL,prune0.7,40,0.0005,73
JPL,prune0.7,50,0.0005,70
JPL,prune0.7,60,0.0005,71
JPL,prune0.7,70,0.0005,77
JPL,prune0.7,80,0.0005,69
JPL,prune0.7,90,0.0005,69
JPL,prune0.8,10,0.0005,67
JPL,prune0.8,100,0.0005,70
JPL,prune0.8,20,0.0005,62
JPL,prune0.8,30,0.0005,81
JPL,prune0.8,40,0.0005,71
JPL,prune0.8,50,0.0005,77
JPL,prune0.8,60,0.0005,73
JPL,prune0.8,70,0.0005,73
JPL,prune0.8,80,0.0005,70
JPL,prune0.8,90,0.0005,67
JPL,baseline,10,0.0006,63
JPL,baseline,100,0.0006,54
JPL,baseline,20,0.0006,60
JPL,baseline,30,0.0006,62
JPL,baseline,40,0.0006,51
JPL,baseline,50,0.0006,63
JPL,baseline,60,0.0006,70
JPL,baseline,70,0.0006,65
JPL,baseline,80,0.0006,68
JPL,baseline,90,0.0006,65
JPL,prune0.1,10,0.0006,61
JPL,prune0.1,100,0.0006,55
JPL,prune0.1,20,0.0006,60
JPL,prune0.1,30,0.0006,60
JPL,prune0.1,40,0.0006,53
