dataset,pruning,seed,epsilon,property_group,result
JPL,baseline,10.0,0.0003,0-49,37
JPL,baseline,10.0,0.0003,50-99,39
JPL,baseline,10.0,0.0005,0-49,28
JPL,baseline,10.0,0.0005,50-99,36
JPL,baseline,10.0,0.0006,0-49,26
JPL,baseline,10.0,0.0006,50-99,37
JPL,baseline,10.0,0.0007,0-49,19
JPL,baseline,10.0,0.0007,50-99,36
JPL,baseline,10.0,0.0008,0-49,14
JPL,baseline,10.0,0.0008,50-99,35
JPL,baseline,10.0,0.0009,0-49,9
JPL,baseline,10.0,0.0009,50-99,26
JPL,baseline,20.0,0.0003,0-49,39
JPL,baseline,20.0,0.0003,50-99,40
JPL,baseline,20.0,0.0005,0-49,31
JPL,baseline,20.0,0.0005,50-99,37
JPL,baseline,20.0,0.0006,0-49,25
JPL,baseline,20.0,0.0006,50-99,35
JPL,baseline,20.0,0.0007,0-49,17
JPL,baseline,20.0,0.0007,50-99,36
JPL,baseline,20.0,0.0008,0-49,10
JPL,baseline,20.0,0.0008,50-99,33
JPL,baseline,20.0,0.0009,0-49,4
JPL,baseline,20.0,0.0009,50-99,27
JPL,baseline,30.0,0.0003,0-49,36
JPL,baseline,30.0,0.0003,50-99,39
JPL,baseline,30.0,0.0005,0-49,29
JPL,baseline,30.0,0.0005,50-99,37
JPL,baseline,30.0,0.0006,0-49,24
JPL,baseline,30.0,0.0006,50-99,38
JPL,baseline,30.0,0.0007,0-49,23
JPL,baseline,30.0,0.0007,50-99,37
JPL,baseline,30.0,0.0008,0-49,17
JPL,baseline,30.0,0.0008,50-99,37
JPL,baseline,30.0,0.0009,0-49,16
JPL,baseline,30.0,0.0009,50-99,37
JPL,baseline,40.0,0.0003,0-49,25
JPL,baseline,40.0,0.0003,50-99,37
JPL,baseline,40.0,0.0005,0-49,19
JPL,baseline,40.0,0.0005,50-99,37
JPL,baseline,40.0,0.0006,0-49,15
JPL,baseline,40.0,0.0006,50-99,36
JPL,baseline,40.0,0.0007,0-49,10
JPL,baseline,40.0,0.0007,50-99,36
JPL,baseline,40.0,0.0008,0-49,10
JPL,baseline,40.0,0.0008,50-99,34
JPL,baseline,40.0,0.0009,0-49,5
JPL,baseline,40.0,0.0009,50-99,36
JPL,baseline,50.0,0.0003,0-49,39
JPL,baseline,50.0,0.0003,50-99,40
JPL,baseline,50.0,0.0005,0-49,34
JPL,baseline,50.0,0.0005,50-99,37
JPL,baseline,50.0,0.0006,0-49,27
JPL,baseline,50.0,0.0006,50-99,36
JPL,baseline,50.0,0.0007,0-49,19
JPL,baseline,50.0,0.0007,50-99,34
JPL,baseline,50.0,0.0008,0-49,12
JPL,baseline,50.0,0.0008,50-99,29
JPL,baseline,50.0,0.0009,0-49,4
JPL,baseline,50.0,0.0009,50-99,17
JPL,baseline,60.0,0.0003,0-49,40
JPL,baseline,60.0,0.0003,50-99,38
JPL,baseline,60.0,0.0005,0-49,35
JPL,baseline,60.0,0.0005,50-99,38
JPL,baseline,60.0,0.0006,0-49,32
JPL,baseline,60.0,0.0006,50-99,38
JPL,baseline,60.0,0.0007,0-49,30
JPL,baseline,60.0,0.0007,50-99,37
JPL,baseline,60.0,0.0008,0-49,20
JPL,baseline,60.0,0.0008,50-99,36
JPL,baseline,60.0,0.0009,0-49,17
JPL,baseline,60.0,0.0009,50-99,36
JPL,baseline,70.0,0.0003,0-49,41
JPL,baseline,70.0,0.0003,50-99,42
JPL,baseline,70.0,0.0005,0-49,33
JPL,baseline,70.0,0.0005,50-99,38
JPL,baseline,70.0,0.0006,0-49,27
JPL,baseline,70.0,0.0006,50-99,38
JPL,baseline,70.0,0.0007,0-49,20
JPL,baseline,70.0,0.0007,50-99,36
JPL,baseline,70.0,0.0008,0-49,15
JPL,baseline,70.0,0.0008,50-99,34
JPL,baseline,70.0,0.0009,0-49,6
JPL,baseline,70.0,0.0009,50-99,26
JPL,baseline,80.0,0.0003,0-49,41
JPL,baseline,80.0,0.0003,50-99,41
JPL,baseline,80.0,0.0005,0-49,33
JPL,baseline,80.0,0.0005,50-99,38
JPL,baseline,80.0,0.0006,0-49,30
JPL,baseline,80.0,0.0006,50-99,38
JPL,baseline,80.0,0.0007,0-49,22
JPL,baseline,80.0,0.0007,50-99,37
JPL,baseline,80.0,0.0008,0-49,18
JPL,baseline,80.0,0.0008,50-99,37
JPL,baseline,80.0,0.0009,0-49,13
JPL,baseline,80.0,0.0009,50-99,35
JPL,baseline,90.0,0.0003,0-49,41
JPL,baseline,90.0,0.0003,50-99,41
JPL,baseline,90.0,0.0005,0-49,32
JPL,baseline,90.0,0.0005,50-99,37
JPL,baseline,90.0,0.0006,0-49,28
JPL,baseline,90.0,0.0006,50-99,37
JPL,baseline,90.0,0.0007,0-49,24
JPL,baseline,90.0,0.0007,50-99,37
JPL,baseline,90.0,0.0008,0-49,17
JPL,baseline,90.0,0.0008,50-99,36
JPL,baseline,90.0,0.0009,0-49,15
JPL,baseline,90.0,0.0009,50-99,36
JPL,baseline,100.0,0.0003,0-49,37
JPL,baseline,100.0,0.0003,50-99,40
JPL,baseline,100.0,0.0005,0-49,29
JPL,baseline,100.0,0.0005,50-99,37
JPL,baseline,100.0,0.0006,0-49,17
JPL,baseline,100.0,0.0006,50-99,37
JPL,baseline,100.0,0.0007,0-49,12
JPL,baseline,100.0,0.0007,50-99,36
JPL,baseline,100.0,0.0008,0-49,6
JPL,baseline,100.0,0.0008,50-99,34
JPL,baseline,100.0,0.0009,0-49,1
JPL,baseline,100.0,0.0009,50-99,25
JPL,prune0.1,10.0,0.0003,0-49,38
JPL,prune0.1,10.0,0.0003,50-99,37
JPL,prune0.1,10.0,0.0005,0-49,30
JPL,prune0.1,10.0,0.0005,50-99,37
JPL,prune0.1,10.0,0.0006,0-49,25
JPL,prune0.1,10.0,0.0006,50-99,36
JPL,prune0.1,10.0,0.0007,0-49,20
JPL,prune0.1,10.0,0.0007,50-99,36
JPL,prune0.1,10.0,0.0008,0-49,13
JPL,prune0.1,10.0,0.0008,50-99,31
JPL,prune0.1,10.0,0.0009,0-49,6
JPL,prune0.1,10.0,0.0009,50-99,18
JPL,prune0.1,20.0,0.0003,0-49,40
JPL,prune0.1,20.0,0.0003,50-99,38
